ЦАО;"Центральный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=8f6cf733-485f-4b6f-9963-cf81e9e3122f;list-Inside.aspx?RgmFolderID=5e72adae-af48-4222-8a46-eb0d2d87eb73
САО;"Северный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=fdf8426b-bfee-4b55-9456-92981fdf428d;list-Inside.aspx?RgmFolderID=383c2ebd-414e-4b12-9be2-3d385837bbfc
СВАО;"Северо-Восточный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=ff97b7b0-0382-43e2-9520-2dad470c42fc;list-Inside.aspx?RgmFolderID=cda419cf-82ec-4c10-b57c-f66e15fde3e3
ВАО;"Восточный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=d95b0042-9f4d-4524-a4fc-59788b84ffa4;list-Inside.aspx?RgmFolderID=a89bb5af-0fcc-462c-b874-267449bf27dd
ЮВАО;"Юго-Восточный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=5481fc90-fa9b-42b8-bbb7-dd23a30e870b;list-Inside.aspx?RgmFolderID=1ba06744-4fe9-47ff-affc-a265dd022f75
ЮАО;"Южный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=7c6e3348-0af9-435e-9655-9622012b7de2;list-Inside.aspx?RgmFolderID=f6b626ac-d3bf-4097-8bc0-8a72c9fdf329
ЮЗАО;"Юго-Западный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=e5ab8987-b27b-405e-8854-6cc0323409c0;list-Inside.aspx?RgmFolderID=77c2c375-b2ca-4508-998d-2ee91ed245bb
ЗАО;"Западный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=7a46aac2-b389-4496-9dd3-cadaca4f1af4;list-Inside.aspx?RgmFolderID=9fd05fc8-b251-4149-a489-462f4e56b0a5
СЗАО;"Северо-Западный административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=26007ec7-23e3-45db-8c9d-025bc7b8ab8b;list-Inside.aspx?RgmFolderID=e1182113-8cb3-4ee1-a420-9fce7165a2ba
ЗелАО;"Зеленоградский административный округ";list-Inside-doc-WholePage.aspx?RgmFolderID=ae33d417-6f90-4517-a6d5-0a4d9abbca27;list-Inside.aspx?RgmFolderID=6b9f992a-a329-4a74-a347-bc51afaa01b0
