арбат;1;"Смоленская наб.,2, 2А;Смоленская пл.,13/21;Смоленская ул.,6, 10;Смоленский 1-й пер.,9, 13, 15, 17, 22/10, 24;Шломина пр.,6;Шубинский пер.,7.";"Шубинский пер., 6,Типография Наука";"Шубинский пер., 6,Типография Наука";
арбат;2;"Николощеповский 1-й пер.,20/4;Новинский бульв.,1/2, 7/1;Новопесковский М. пер.,8;Новый Арбат ул., 23, 25;Панфиловский пер.,1/16 (к. 1), 3, 5, 6;Проточный пер.,4, 8/2, 11, 14/1 (с. 1), 16/1;Прямой пер., 5/7;Смоленская наб., 5/13.";"Шубинский пер., 6, Типография Наука";"Новинский бульв, 3,Гимназия № 1513";
арбат;3;"Девятинский Б. пер., 3, 5;Новинский бульв.,11, 13 (с.1, 6), 15;Новый Арбат ул.,29, 30/9, 31/12, 34.";"Новинский бульвар, 13 с. 6,Центр молодежных Объединений";"Новый Арбат ул., 36/9,Мэрия г. Москвы";
арбат;4;"Новинский бульв.,10/12, 12, 14, 16 (с. 2, 4), 16А, 18, 18А, 18Б, 28/35;Новый Арбат ул., 26;Поварская ул.,29/31, 29/36;Трубниковский пер.,11, 13 (с. 1), 24 (к. 1, 2), 26 (с. 1), 30 (с. 1, 3).";"Трубниковский пер., 21,ГБУ ЦСО Арбат";"Новинский бульв., 20, Филиал школы № 1234";
арбат;5;"Борисоглебский пер.,8 (с. 1), 12/19, 15 (с. 2);Воздвиженка ул.,4/7;Кисловский Б.пер.,4;Кисловский Н. пер., 3;Молчановка Б. ул.,15/11, 17, 18, 21, 21А, 24/2, 24/2 (с. 1А), 30/7;Молчановка М. ул.,4, 6, 8 (с. 1, 2);Никитский бульв., 5;Новый Арбат ул.,6, 10, 16,22;Поварская ул., 8/1 (с. 1, 2), 15, 18, 18/9, 20, 22, 23, 23А, 26, 28 (к. 1);Ржевский Б. пер., 2/24, 8, 11;Романов пер.,3 (к. 1, 7), 5;Хлебный пер.,9.";"Трубниковский пер., 21,ГБУ ЦСО Арбат";"Молчановка Б. ул., 26/28, Школа № 1234";
арбат;6;"Арбат ул.,4 (с. 1-1А), 9 (с. 2), 13, 15/43, 17 (с. 1), 19, 23 (с. 2);Афанасьевский Б. пер.,16/8, 22 (к. 2), 25, 30, 31, 32/9, 33, 35/37, 36, 39, 41;Афанасьевский М. пер.,1/33, 5/15;Гоголевский бульв., 23, 25 (с. 1), 27, 29;Кретовоздвиженский пер., 4 (с. 2);Сивцев Вражек пер.,4, 6/2, 12, 14;Филипповский пер., 7, 8 (с. 1), 9, 13 (с. 2), 16, 18.";"Афанасьевский Б. пер., 35/37,Библиотека филиал семейного чтения";"Афанасьевский Б. пер., 27,Школа № 1233";
арбат;7;"Арбат ул.,25/36 (с. 1), 27, 29, 31 (с. 1, 2), 33/12 (с. 1), 37, 43 (с. 1, 3), 45/24 (с. 1), 47/23 (с. 1), 49 (с. 1), 51 (с. 1, 2, 3);Глазовский пер., 10 (с. 1);Денежный пер.,30;Калошин пер.,6/8;Кривоарбатский пер.,3, 8 (стр. 1, 2), 12 (с. 1), 13 (с. 1), 15 (с. 1), 16/22, 19;Плотников пер.,20/21, 21 (с. 1);Сивцев Вражек пер.,20, 42, 44/28;Староконюшенный пер.,26, 28, 30, 32, 33, 35, 37, 39, 41 (с. 1, 2, 3), 43.";"Арбат ул., 35,Центральный дом актёра им. А.А. Яблочкиной";"Арбат ул., 35,Центральный дом актёра им. А.А. Яблочкиной";
арбат;8;"Арбат ул.,18/1 (с. 2), 20, 30 (с. 1, 2, 3), 32, 36/2 (с. 1), 38/1 (с. 2), 40 (к. 1), 44 (с. 1, 3, 5);Каковинский М. пер.,1/8 (с. 1, 2), 2/6 (с. 1), 3 (с. 1), 4 (с. 1), 6, 8;Каменная Слобода пер.,2/1 (к. 2), 2/1 (с. 1);Карманицкий пер.,2/5 (с. 1) 3, 3А, 5, 10;Композиторская ул.,17;Николопесковский Б. пер.,3, 5, 6, 12, 13 (с. 1);Николопесковский М. пер., 4, 6, 9/1 (с. 1, 2), 11/2 (с. 1);Серебряный пер.,5;Спасопесковский пер., 3/1;Троилинский пер.,4/7;Трубниковский пер.,4 (с. 2, 5), 8/15.";"Каменной Слободы пер., 4,Педагогический колледж № 9";"Каменной Слободы пер., 4,Педагогический колледж № 9";
арбат;9;"Знаменка ул.,8/13, 19;Колымажный пер.,14;Староваганьковский пер.,15 (с. 1).";"Афанасьевский Б. пер., 35/37,Библиотека филиал семейного чтения";"Афанасьевский Б. пер., 27,Школа № 1233";
арбат;3200;"Серебряный пер.,4.";"Серебряный пер., 4,Филиал № 2 ЦКВГ им. Мандрыка";"Серебряный пер., 4,Филиал № 2 ЦКВГ им. Мандрыка";
баcман;10;"Армянский пер., 4, 7;Забелина ул., 5 (с.1, 2);Златоустинский Б. пер., 3А (с.2), 5, 6;Златоустинский М. пер., 1/11, 8, 8 (с.2), 10(с.1);Лубянский пр.,17 (с.1), 19 (с.1, 2);Лучников пер., 7/4 (с.5, 6);Маросейка ул., 2/15, 4/2, 6/8, 9/2 (с.1, 7, 8), 10/1 (с.1,3), 11/4 (с.1), 13 (с. 1, 2, 3), 15 (с.1);Петроверигский пер., 3 (с.1), 6/8, 10 (с.4);Спасоглинищевский Б. пер., 6/1, 8;Старосадский пер., 6, 10.";"ул. Покровка, 3/7, с.1Г,Общественный пункт охраны порядка495-628-77-08";"Армянский пер., 4, Педагогический колледж 7 Маросейка495-625-64-20";
